,time,atp
0,0,2.8873852436049576
1,1,3.046328348884416
2,3,3.087858430631868
3,4,2.844666496155754
4,5,3.761626980828901
5,6,3.0926882860137197
6,7,2.1983515307507706
7,8,3.2575437832722622
8,9,2.7470611572265624
9,10,3.4327146798972317
10,11,2.6336457701935165
11,12,3.377693608122052
12,13,2.0510681582168795
13,14,2.7228694275347856
14,15,3.5104916021690604
15,16,3.6814780039330053
16,17,3.2099901282269023
17,18,3.9019492701480263
18,19,3.14357659755609
19,20,2.2875405004469016
20,21,1.7084286077235773
21,22,3.039303185804835
22,23,1.045649508212475
23,24,2.4129387488731973
