,time,atp
0,0,2.8873852436049576
1,1,2.750865218030858
2,3,2.8026988841869214
3,4,2.5196202596028647
4,5,2.9011088158800193
5,6,2.5300572713216147
6,7,3.182425985530931
7,8,2.71939208984375
8,9,2.8709899487138606
9,10,2.5244181315104166
10,11,2.0537800942697833
11,12,2.417962915757123
12,13,2.281802868716931
13,14,1.9494545676491477
14,15,2.726417759486607
15,16,2.240742678364749
16,17,2.087017059326172
17,18,1.90646653678549
18,19,3.472147292345277
19,20,3.2637416758435838
20,21,2.553890652126736
21,22,2.0387682064559107
22,23,2.0394916415954967
23,24,2.587117076431733
