,time,atp
0,0,2.8873852436049576
1,1,3.046328348884416
2,3,3.087858430631868
3,4,2.844666496155754
4,5,3.560283877985264
5,6,3.1245400199677027
6,7,3.08258056640625
7,8,3.285250729077483
8,9,3.4220731295072113
9,10,3.8981379811356707
10,11,3.0835675380026646
11,12,4.020362416650079
12,13,2.583683032344505
13,14,2.6094955185712396
14,15,5.022973867563101
15,16,3.873070038944842
16,17,3.3680058529502466
17,18,3.3643763065338135
18,19,4.543910435267857
19,20,5.356792185566213
20,21,4.595043025604666
21,22,6.353950500488281
22,23,5.256496597386007
23,24,5.1520662127800705
