,time,atp
0,0,2.6876834284060847
1,1,2.7018484783987713
2,2,2.266246751124757
3,3,1.9024847389587176
4,4,2.8317654009946844
5,5,2.2372595498728196
6,6,2.37484807076214
7,7,2.1518113469503013
8,8,1.9151428836074906
9,9,1.750007518823596
10,10,1.651988384152247
11,11,1.9909866575210813
12,12,2.5329377916124134
13,13,2.789822741766661
14,14,3.488197451732198
15,15,4.021571809445286
16,16,2.1157737264827805
17,17,3.2278253390704315
18,18,3.161545058428231
19,19,0.019561979828811273
20,20,4.436940363639795
21,21,3.571700096130371
22,22,2.9606485103375344
23,23,2.496432067042562
24,24,4.140531775069563
25,25,3.5652943202427454
26,26,3.187418249881629
27,27,3.818302723584254
28,28,2.589828894882606
29,29,1.8446278042263455
