,time,atp
0,0,2.3412816725194654
1,1,2.7558421560138537
2,2,2.2439111049637597
3,3,1.7858749767074316
4,4,2.608994368668441
5,5,2.3312327348066297
6,6,1.8380346859202665
7,7,1.927691792332849
8,8,1.7502017550998263
9,9,1.9723940965605946
10,10,1.9814936533695509
11,11,2.0926558096197585
12,12,1.9982698059082031
13,13,2.559940613422197
14,14,3.412101033528646
15,15,3.6252472706330128
16,16,2.208918701171875
17,17,3.629758804563492
18,18,3.3687230711842813
19,19,0.6575723935479987
20,20,6.040719168526786
21,21,3.670810275607639
22,22,2.651953912550403
23,23,2.315119776232489
24,24,4.3000038548519735
25,25,3.691994296355897
26,26,3.8143487643701426
27,27,3.7380429222470237
28,28,2.890132023737981
29,29,2.673702793266937
