,time,atp
0,0,2.3412816725194654
1,1,2.7558421560138537
2,2,2.2439111049637597
3,3,1.7858749767074316
4,4,2.608994368668441
5,5,2.571977471586448
6,6,2.3876613709984755
7,7,2.185211950991334
8,8,1.8750820691842007
9,9,2.0212897876701734
10,10,2.272124974073562
11,11,1.864287451874438
12,12,3.36846709669682
13,13,3.569292658025568
14,14,3.7147029331752233
15,15,5.720350335405759
16,16,2.560652973495911
17,17,3.351114259543994
18,18,3.1913143619076236
19,19,0.11486942485227424
20,20,5.669691937524568
21,21,4.701307262073864
22,22,3.541603140279549
23,23,2.746200019332963
24,24,4.904387683403201
25,25,4.214847449100379
26,26,3.971446468955592
27,27,5.1561459495907735
28,28,3.7366819639463684
29,29,3.705253189909244
