,time,atp
0,0,6.624136362479642
1,1,5.342253766741071
2,2,2.9918147202564462
3,4,3.6167073321846677
4,5,2.5444441511824323
5,6,3.254019038468462
6,7,4.107950525959645
7,8,5.132580743319746
8,9,3.209513082132711
9,10,3.8671908141261313
10,11,2.8003761494054205
11,14,3.7517316808652637
12,15,3.5883678890737816
13,16,3.2967048413825757
14,17,3.5419265747070314
15,18,5.009677342006138
16,19,4.962914276123047
17,20,3.0161283918954793
18,21,4.078924685108419
19,22,2.7164495983263004
20,23,3.0618398381375718
21,24,2.546477322048611
