,time,atp
0,0,6.624136362479642
1,1,5.342253766741071
2,2,2.9918147202564462
3,4,3.6167073321846677
4,5,2.263155451791729
5,6,3.174871045489644
6,7,3.8521052980885924
7,8,6.041237967354911
8,9,3.0857694498697916
9,10,4.73895432277279
10,11,3.1309287061969053
11,14,2.8640094625538794
12,15,3.080038544625947
13,16,3.176299215014515
14,17,3.307770267609627
15,18,4.795569311214399
16,19,5.839957052831492
17,20,3.263221560500738
18,21,3.117535893221079
19,22,3.006431649584289
20,23,3.129177490234375
21,24,3.1887139608693675
