,time,atp
0,0,6.624136362479642
1,1,5.342253766741071
2,2,2.9918147202564462
3,4,3.6167073321846677
4,5,2.5444441511824323
5,6,3.254019038468462
6,7,4.107950525959645
7,8,4.918480023945848
8,9,3.066830739667339
9,10,6.14072219342417
10,11,3.1726842002263145
11,14,3.7091982832578854
12,15,3.420569675251589
13,16,3.254723845228637
14,17,3.5936493205132884
15,18,3.9647383889317966
16,19,4.259323214892275
17,20,3.2394683982523698
18,21,3.643104483228211
19,22,2.5703125
20,23,2.509981930910886
21,24,3.04343036042542
