,time,atp
0,0,6.624136362479642
1,1,5.342253766741071
2,2,2.8606190321180556
3,4,3.0377980645200546
4,5,2.4139275608292543
5,6,3.498633428451118
6,7,4.6211600501697285
7,8,5.378699001736111
8,9,2.420115842657574
9,10,3.6000744404236964
10,11,3.526993649865165
11,14,3.7509467629825366
12,15,3.60901851147677
13,16,2.954169469163907
14,17,3.7454791045069094
15,18,3.9704536304139255
16,19,4.038895539314516
17,20,3.1867476547320273
18,21,3.3356601224087252
19,22,3.2652054325226816
20,23,3.044668651762463
21,24,3.084794244846376
